question_uid,parliament,session,question_number,response_date,response_sitting_day,response_type,response_detail,response_details_full
42-1-2333,42,1,2333,2019-05-03,409,written,Sessional Paper No. 8555-421-2333,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2333)  — May 3, 2019"
42-1-2334,42,1,2334,2019-05-03,409,written,Sessional Paper No. 8555-421-2334,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2334)  — May 3, 2019"
42-1-2335,42,1,2335,2019-05-03,409,written,Sessional Paper No. 8555-421-2335,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2335)  — May 3, 2019"
42-1-2336,42,1,2336,2019-05-03,409,written,Sessional Paper No. 8555-421-2336,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2336)  — May 3, 2019"
42-1-2337,42,1,2337,2019-05-03,409,written,Sessional Paper No. 8555-421-2337,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2337)  — May 3, 2019"
42-1-2338,42,1,2338,2019-05-03,409,written,Sessional Paper No. 8555-421-2338,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2338)  — May 3, 2019"
42-1-2339,42,1,2339,2019-05-06,410,written,Sessional Paper No. 8555-421-2339,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2339)  — May 6, 2019"
42-1-2340,42,1,2340,2019-05-06,410,written,Sessional Paper No. 8555-421-2340,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2340)  — May 6, 2019"
42-1-2341,42,1,2341,2019-05-06,410,verbal,"Debates May 6, 2019","Answered (See Debates) — May 6, 2019"
42-1-2342,42,1,2342,2019-05-06,410,written,Sessional Paper No. 8555-421-2342,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2342)  — May 6, 2019"
42-1-2343,42,1,2343,2019-05-06,410,verbal,"Debates May 6, 2019","Answered (See Debates) — May 6, 2019"
42-1-2344,42,1,2344,2019-05-06,410,written,Sessional Paper No. 8555-421-2344,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2344)  — May 6, 2019"
42-1-2345,42,1,2345,2019-05-06,410,written,Sessional Paper No. 8555-421-2345,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2345)  — May 6, 2019"
42-1-2346,42,1,2346,2019-05-06,410,written,Sessional Paper No. 8555-421-2346,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2346)  — May 6, 2019"
42-1-2347,42,1,2347,2019-05-15,417,written,Sessional Paper No. 8555-421-2347,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2347)  — May 15, 2019"
42-1-2348,42,1,2348,2019-05-15,417,written,Sessional Paper No. 8555-421-2348,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2348)  — May 15, 2019"
42-1-2349,42,1,2349,2019-05-15,417,written,Sessional Paper No. 8555-421-2349,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2349)  — May 15, 2019"
42-1-2350,42,1,2350,2019-05-15,417,written,Sessional Paper No. 8555-421-2350,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2350)  — May 15, 2019"
42-1-2351,42,1,2351,2019-05-15,417,written,Sessional Paper No. 8555-421-2351,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-421-2351)  — May 15, 2019"
